Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Gateway to Nature Center,Firehouse Museum,Hellman Quon,IAMLA,Pico House ,Visitor Center/ El Tranquilo Gallery,Museum of Social Justice,Biscailuz Gallery/ PK Outdoor Exhibit
01/01/2014 12:00:00 AM,6602,24778,1581,,4486,0,,2204,2961,,
02/01/2014 12:00:00 AM,5029,18976,1785,,4172,0,,1330,2276,,
03/01/2014 12:00:00 AM,8129,25231,3229,,7082,70,,4320,3116,,
04/01/2014 12:00:00 AM,2824,26989,2129,,6756,250,,3277,2808,,
05/01/2014 12:00:00 AM,10694,36883,3676,,10858,135,,4122,3987,,
06/01/2014 12:00:00 AM,11036,29487,2121,,5751,255,,355,3133,,
07/01/2014 12:00:00 AM,13490,32378,2239,,5406,120,,3375,3527,,
08/01/2014 12:00:00 AM,9139,37680,1769,,8619,250,,1550,0,,
09/01/2014 12:00:00 AM,5661,28473,1073,,61192,1145,,1335,0,,
10/01/2014 12:00:00 AM,7356,27995,1979,,6488,550,,1518,0,,
11/01/2014 12:00:00 AM,9773,25691,2404,,4189,410,,7769,0,,
12/01/2014 12:00:00 AM,7184,18754,1319,,4339,565,,1140,0,,
01/01/2015 12:00:00 AM,6250,20438,1823,,3858,75,,200,2082,,
02/01/2015 12:00:00 AM,5907,15578,1558,,3742,160,,1075,2751,,
03/01/2015 12:00:00 AM,9884,21297,2336,,5390,325,,3445,2748,,
04/01/2015 12:00:00 AM,7254,26670,3057,,7000,2000,,3292,3408,,
05/01/2015 12:00:00 AM,13207,34383,4009,,12528,475,,5042,3785,,
07/01/2015 12:00:00 AM,11072,41242,3057,,6111,100,,4225,4233,,
06/01/2015 12:00:00 AM,11102,30569,2544,,5377,200,,4552,3444,,
08/01/2015 12:00:00 AM,12096,30700,2415,,5383,50,,5974,3606,,
09/01/2015 12:00:00 AM,6608,20967,1398,,5746,125,,700,3323,,
10/01/2015 12:00:00 AM,12524,29764,2237,,8882,750,,4158,3209,,
11/01/2015 12:00:00 AM,6677,24483,2850,,6848,950,,9312,13750,,
12/01/2015 12:00:00 AM,5967,21426,2075,,4502,120,,170,3367,,
01/01/2016 12:00:00 AM,6587,19659,2150,,4377,50,,250,2940,,
02/01/2016 12:00:00 AM,6955,17378,2547,,3675,60,,0,2288,,
05/01/2017 12:00:00 AM,7556,30029,5585,2581,8733,,863,500,2582,,930
06/01/2017 12:00:00 AM,6818,22169,2946,3248,4862,,872,40,2372,,891
03/01/2016 12:00:00 AM,9979,20322,7702,,6334,,,0,3839,,
08/01/2016 12:00:00 AM,6245,25987,2153,,5181,,930,475,2723,,
09/01/2016 12:00:00 AM,6977,22897,1754,,4736,,857,325,1221,,
10/01/2016 12:00:00 AM,6282,25040,2607,,6145,,1009,1210,1769,,760
11/01/2016 12:00:00 AM,6365,17760,2248,,3930,,863,0,1420,,1162
12/01/2016 12:00:00 AM,5223,20107,2263,,3911,,772,715,973,,692
01/01/2017 12:00:00 AM,4929,18792,2531,,3551,,556,610,1325,,518
02/01/2017 12:00:00 AM,4493,14035,2139,,3491,,619,895,1049,,879
03/01/2017 12:00:00 AM,6271,20680,5966,3116,5273,,736,625,1366,,814
04/01/2017 12:00:00 AM,6685,25234,3273,3440,5320,,668,425,3070,,1124
05/01/2016 12:00:00 AM,7757,31728,4565,,9315,,,265,3408,,
06/01/2016 12:00:00 AM,6751,23696,3034,,4918,,,220,1876,,
04/01/2016 12:00:00 AM,5113,24521,3485,,6509,,,50,2797,,
07/01/2016 12:00:00 AM,12188,31689,2776,,5602,,,215,2951,,
07/01/2017 12:00:00 AM,8675,30831,2939,4227,5242,,1431,295,2771,,1156
08/01/2017 12:00:00 AM,6212,27009,1784,2650,5379,,1194,635,2182,,862
09/01/2017 12:00:00 AM,4607,23403,1704,1825,4484,,758,920,2130,,960
10/01/2017 12:00:00 AM,6097,22164,2419,1250,4822,,1351,3580,,,536
11/01/2017 12:00:00 AM,6757,17629,2685,1476,4613,,1088,415,,,1586
12/01/2017 12:00:00 AM,6780,18339,2768,1316,4448,,1205,605,,,1292
03/01/2018 12:00:00 AM,4909,19001,4529,,5225,,965,1645,,3348,1320
02/01/2018 12:00:00 AM,5705,14718,2710,,3306,,1562,900,,3621,1148
04/01/2018 12:00:00 AM,4650,18966,2750,,4535,,1109,1155,,2956,1790
01/01/2018 12:00:00 AM,5837,16265,2477,,3910,,1069,,,3585,1141
05/01/2018 12:00:00 AM,5626,25173,4960,,8013,,1601,250,,2332,1628
06/01/2018 12:00:00 AM,4694,22171,2518,,4635,,1232,410,,2351,1434
07/01/2018 12:00:00 AM,4718,23136,2620,,4191,,1323,327,,3686,1422
08/01/2018 12:00:00 AM,3891,20815,2409,,4866,,1147,1119,,2604,1331
09/01/2018 12:00:00 AM,3180,21020,2146,,4956,,1031,2140,,2670,926
10/01/2018 12:00:00 AM,3775,19280,2364,,4622,,1159,1975,,3055,1210
11/01/2018 12:00:00 AM,4562,17163,2385,,4082,,1078,1680,,2919,822
12/01/2018 12:00:00 AM,4081,17722,2078,,4253,,1168,185,,2694,349
01/01/2019 12:00:00 AM,3424,13958,2330,,3608,,837,4225,,2670,
02/01/2019 12:00:00 AM,2907,10737,2371,,2900,,816,475,,2080,406
03/01/2019 12:00:00 AM,4384,17056,3804,,5045,,1315,925,,2819,1038
04/01/2019 12:00:00 AM,4830,21074,3484,2055,5204,,1336,,,1933,
05/01/2019 12:00:00 AM,6230,26041,4570,2699,8202,,1883,290,,1959,
06/01/2019 12:00:00 AM,3995,20226,2853,1065,4787,,1177,1800,,2557,933
07/01/2019 12:00:00 AM,4491,24097,2271,999,4432,,1480,90,,2911,774
08/01/2019 12:00:00 AM,3410,20921,2017,977,4460,,1258,120,,1701,872
09/01/2019 12:00:00 AM,3229,17689,1458,1338,4293,,904,740,,2722,569
10/01/2019 12:00:00 AM,4200,18822,1987,1269,4035,,1181,1080,,2878,871
11/01/2019 12:00:00 AM,4362,15507,2808,1566,4385,,1472,225,,10740,1976
12/01/2019 12:00:00 AM,2702,15398,2388,1211,3566,,1088,485,,1948,
